2843788105323898=|=Max I love ❤️ ur my person
1012998292039326=|=hihi is hard pressed to be sure in the mood of you
5491437182106872=|=prtap oh phla jehdi dp layi hundi c ohde ch ptle lgde c tuc oh hor c k same e c
1909517365212309=|=im 21 elena
3270373498150161=|=😎
611396926457993=|=I'm just tryin to make things right i don't wants u two hate each other bcz of me 😐
14426249739233=|=Syd. i'm not deserve her
891126236037353=|=dimple nhi 💀tumlog bahut chada diye hoon
458439542347739=|=jiske liye saare jhagde mol liye last m vahi gaddari p utar aya 😂 ...kalyug bhaijaan kalyug
181609948963426=|=💀
3044099510443502=|=diwali ke baad se shaadi start hojati hai, gyaras ke baad dev uthni gyaras bolte usko
1856838665949271=|=🖤_)༄ᗩᒪII)༆(_💫i block you
1861203466391455=|=what about you Alii
3386433523393424=|=💤
5876384038051289=|=akansha 😀u r not stranger..today u r my cute sis.
8094205023075201=|=tu edad ?
3022904915421343=|=#S P nahi nahi ... jo manne wale hote hai woh ye mahina bhi mante hai
6903254306682520=|=aaj talqhi bhi h intehaan ki... aaj wo b paraye hue h 🖋
1201769947477109=|=SITARA AB BARISH HUI TO FASAL BIGAD SAKTI HAI?
4350937241984785=|=Teri galiyose uthega janaja jab mera .💕 log saare uth uth ke salam krenge...💕💕😥
5164898298350204=|=leena im also good.. you from?
1529753424501174=|=cool wn
139913117184285=|=good night
7083161895219145=|=🎼
7134410162127491=|=all humanity Will pay alll you system Will pay 😑
1508675147615542=|=Yas 😂dimple ki tareef kaisi lagi
3835784001884843=|=@Jack Sparrow hi : )
2252967992291130=|=Elena A wait
6634630281003674=|=you lose alll
8828923435562850=|=under sunflower shades 🤓
7025192789588673=|=toh chdd jao na yas😂😂
3252287121567937=|=:yougotthis:
1590461041012638=|=bueno.. estare feliz de tenerte como mi enfermera hahah #Diana
7080053691172692=|=crystal who do you believe
2809226666133435=|=brb
5818185469233818=|=agreed its kalyug !!!
6718459235304826=|=very easy
7100298624024041=|=gn gn 😂
5351480042606826=|=me???
3869257713679216=|=Singapore and you
7938363288633891=|=Mjhe aur peena h
758072302063742=|=goodnight@Hrishi
2565738826576288=|=cry he didn't answer me means he is cheating on you
7654971092415592=|=Elena I'm 19 or 20
4216150617578824=|=cuz i am real and you are all idiot
374176724001778=|=Dimple….. meri hi c oh vi
8523407620547596=|=Idiot
6861341159125500=|=jaja q loco
4194170883323843=|=this is the point very she have to choose one of you 😶
8334346420174876=|=im from india leena
4402634340159607=|=22 Alii
7171476780143520=|=Energy liar
6654092293112942=|=🎼🎼🎼
4754560038260720=|=🗿
2620472815895334=|=💙👩‍⚕️
5573571913750198=|=boredome consumes me
6517065301748588=|=:awesome:
5523568146816640=|=😤
1031562219991680=|=good 😊
5976498079986041=|=@Hrishi I said hi
669906197572841=|=xaff....hi I'm fine and you
7822997308152371=|=Tiktik ♡
1012998292039326=|=hihi is hard pressed to be sure in the mood of you
5491437182106872=|=prtap oh phla jehdi dp layi hundi c ohde ch ptle lgde c tuc oh hor c k same e c
1909517365212309=|=im 21 elena
3270373498150161=|=😎
611396926457993=|=I'm just tryin to make things right i don't wants u two hate each other bcz of me 😐
14426249739233=|=Syd. i'm not deserve her
891126236037353=|=dimple nhi 💀tumlog bahut chada diye hoon
458439542347739=|=jiske liye saare jhagde mol liye last m vahi gaddari p utar aya 😂 ...kalyug bhaijaan kalyug
181609948963426=|=💀
3044099510443502=|=diwali ke baad se shaadi start hojati hai, gyaras ke baad dev uthni gyaras bolte usko
1856838665949271=|=🖤_)༄ᗩᒪII)༆(_💫i block you
1861203466391455=|=what about you Alii
3386433523393424=|=💤
5876384038051289=|=akansha 😀u r not stranger..today u r my cute sis.
8094205023075201=|=tu edad ?
3022904915421343=|=#S P nahi nahi ... jo manne wale hote hai woh ye mahina bhi mante hai
6903254306682520=|=aaj talqhi bhi h intehaan ki... aaj wo b paraye hue h 🖋
1201769947477109=|=SITARA AB BARISH HUI TO FASAL BIGAD SAKTI HAI?
4350937241984785=|=Teri galiyose uthega janaja jab mera .💕 log saare uth uth ke salam krenge...💕💕😥
5164898298350204=|=leena im also good.. you from?
1529753424501174=|=cool wn
139913117184285=|=good night
7083161895219145=|=🎼
7134410162127491=|=all humanity Will pay alll you system Will pay 😑
1508675147615542=|=Yas 😂dimple ki tareef kaisi lagi
3835784001884843=|=@Jack Sparrow hi : )
2252967992291130=|=Elena A wait
6634630281003674=|=you lose alll
8828923435562850=|=under sunflower shades 🤓
7025192789588673=|=toh chdd jao na yas😂😂
3252287121567937=|=:yougotthis:
1590461041012638=|=bueno.. estare feliz de tenerte como mi enfermera hahah #Diana
7080053691172692=|=crystal who do you believe
2809226666133435=|=brb
5818185469233818=|=agreed its kalyug !!!
6718459235304826=|=very easy
7100298624024041=|=gn gn 😂
5351480042606826=|=me???
3869257713679216=|=Singapore and you
7938363288633891=|=Mjhe aur peena h
758072302063742=|=goodnight@Hrishi
2565738826576288=|=cry he didn't answer me means he is cheating on you
7654971092415592=|=Elena I'm 19 or 20
4216150617578824=|=cuz i am real and you are all idiot
374176724001778=|=Dimple….. meri hi c oh vi
8523407620547596=|=Idiot
6861341159125500=|=jaja q loco
4194170883323843=|=this is the point very she have to choose one of you 😶
8334346420174876=|=im from india leena
6294484727379127=|=🚬
2608198586634445=|=@H. Armenia
6470454464268374=|=what Alii
6712208249794469=|=nikala v tmne hi
7065204456356609=|=Max I believe you
2227317581995560=|=SITARA HA KAI BUJURG TUMHARI TARAH AJ BHI ISI CALENDAR PAR CHALTE
5503801883008948=|=ha tum😂🤡
27486776427176=|=كيف الوضع بالعراق انتي هلأ بالعراق ؟
5316622330528333=|=🙎‍♀️
7881597526681798=|=alll judge are idiot
